V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	accession
0.491242	0.428943	0.034784	1e-05	1e-05	0.022866	1e-05	0.022114	1e-05	1e-05	CAMPUB_029
0.496789	0.412969	0.029504	1e-05	1e-05	0.034704	1e-05	0.025985	1e-05	1e-05	CAMPUB_030
1e-05	0.369775	1e-05	0.235462	0.093052	1e-05	0.071818	1e-05	0.229844	1e-05	CAMPUB_175
0.036161	0.485996	0.004244	0.010086	0.058986	0.00672	0.063664	0.099262	0.23169	0.003191	CAMPUB_266
0.037488	0.501466	0.006904	0.013791	0.086611	0.022964	0.023885	0.103163	0.203719	1e-05	CAMPUB_268
1e-05	0.836767	1e-05	1e-05	1e-05	1e-05	0.146862	1e-05	1e-05	0.016301	CAMPUB_260
1e-05	0.911917	1e-05	1e-05	1e-05	1e-05	0.088003	1e-05	1e-05	1e-05	CAMPUB_273
1e-05	0.943986	1e-05	1e-05	1e-05	1e-05	1e-05	0.055934	1e-05	1e-05	CAMPUB_135
1.2e-05	0.870233	1e-05	1e-05	1e-05	1e-05	0.070859	0.058836	1e-05	1e-05	CAMPUB_168
1.3e-05	0.78788	1e-05	1.4e-05	1.1e-05	1e-05	0.035579	0.176463	1e-05	1e-05	CAMPUB_187
1e-05	0.86759	1e-05	1e-05	1.8e-05	1e-05	1e-05	0.122533	0.009799	1e-05	CAMPUB_270
1e-05	0.003479	1e-05	1e-05	1.3e-05	1e-05	1e-05	0.04722	0.20491	0.744328	CAMPUB_206
1e-05	0.171393	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.069392	0.166338	0.592817	CAMPUB_201
1.1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1.6e-05	1e-05	0.999903	CAMPUB_159
1e-05	0.167603	1e-05	1e-05	1e-05	1e-05	1e-05	0.030571	1e-05	0.801756	CAMPUB_058
0.088638	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.01536	0.104645	0.791296	CAMPUB_146
1e-05	0.68193	1e-05	1e-05	1e-05	1e-05	1e-05	0.015371	1e-05	0.302629	CAMPUB_148
1e-05	0.506269	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.493651	CAMPUB_155
0.102227	0.487347	0.283096	1e-05	1e-05	0.070744	1e-05	1e-05	1e-05	0.056536	CAMPUB_084
0.376271	0.574039	0.01564	1e-05	0.023739	0.010262	1e-05	1e-05	1e-05	1e-05	CAMPUB_271
0.25498	0.717182	1e-05	1e-05	0.027767	1e-05	1e-05	1e-05	1.1e-05	1e-05	CAMPUB_150
