V1	V2	V3	V4	V5	accession
1e-05	0.014106	1e-05	0.04497	0.940904	CAMPUB_066
0.060115	1e-05	1e-05	0.020794	0.919071	UNT_031_reseq
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_148
1.7e-05	0.039606	1e-05	1e-05	0.960356	CAMPUB_270
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_187
1e-05	1e-05	1e-05	1e-05	0.99996	UNT_058_reseq
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_135
1e-05	0.034585	1e-05	1e-05	0.965385	CAMPUB_168
1e-05	1e-05	1e-05	1e-05	0.99996	CAMPUB_260
1e-05	0.015266	1e-05	1e-05	0.984704	CAMPUB_273
1e-05	0.342454	1e-05	0.019017	0.638509	CAMPUB_136
1e-05	0.169975	1e-05	0.426982	0.403023	CAMPUB_211
1e-05	0.50054	1e-05	1e-05	0.49943	CAMPUB_008
1e-05	0.694645	1e-05	1e-05	0.305325	CAMPUB_040
1e-05	0.122271	0.244149	0.392534	0.241037	CAMPUB_096
1e-05	0.25804	0.280792	0.012707	0.448451	CAMPUB_158
0.401539	0.482232	1e-05	1e-05	0.116208	CAMPUB_203
1e-05	0.415781	0.008693	0.013591	0.561925	CAMPUB_209
0.228168	0.2078	0.022106	0.043135	0.498791	CAMPUB_098
1e-05	1e-05	1e-05	0.466527	0.533443	CAMPUB_099
0.1365	0.063414	0.028864	0.243158	0.528064	CAMPUB_237
0.168435	1e-05	0.290834	0.05534	0.485381	CAMPUB_084
0.258279	0.04645	0.017198	0.135862	0.542211	CAMPUB_251
0.340384	0.098154	0.044409	1e-05	0.517044	CAMPUB_271
0.570479	0.067115	1e-05	0.044414	0.317983	CAMPUB_152
0.248435	0.113585	0.026093	0.031305	0.580583	CAMPUB_074
0.21851	0.181738	0.023542	1e-05	0.576199	CAMPUB_123
0.420179	0.129572	0.061453	1e-05	0.388786	CAMPUB_029
0.423568	0.137385	0.059134	1e-05	0.379903	CAMPUB_030
0.370565	0.262003	0.024607	0.008298	0.334527	CAMPUB_259
0.352325	0.202883	0.050153	0.028637	0.366001	CAMPUB_261
1e-05	0.332353	1e-05	0.269444	0.398184	CAMPUB_175
0.005108	0.479227	1e-05	0.143473	0.372182	UNT_038_new
0.221491	0.142306	0.160205	0.075854	0.400145	UNT_035_reseq
0.304981	0.231063	0.026278	0.115668	0.32201	UNT_042_reseq
