V1	V2	V3	V4	V5	V6	V7	V8	accession
0.216837	0.173336	1e-05	0.099141	1e-05	1e-05	0.432615	0.078041	CAMPUB_211
0.330442	0.518759	1e-05	0.105122	1e-05	1e-05	1e-05	0.045636	CAMPUB_008
0.104747	0.739574	1.6e-05	0.078808	1e-05	1e-05	1e-05	0.076825	CAMPUB_040
0.045039	0.121164	0.250479	0.045703	1e-05	1e-05	0.379402	0.158192	CAMPUB_096
0.237217	1e-05	0.03545	0.019073	0.253579	1e-05	0.454651	1e-05	CAMPUB_205
0.105386	0.196684	1e-05	1e-05	0.057868	1e-05	0.598826	0.041206	CAMPUB_164
0.092906	0.258114	1e-05	1e-05	0.056879	0.028543	0.554182	0.009355	CAMPUB_196
0.045619	0.042824	0.008328	1e-05	0.311746	1e-05	0.591453	1e-05	CAMPUB_219
0.043931	0.043349	0.005126	1e-05	0.317313	1e-05	0.590252	1e-05	CAMPUB_220
0.439242	1e-05	1e-05	1.4e-05	1e-05	1e-05	0.560694	1e-05	CAMPUB_233
0.547982	1e-05	1e-05	1e-05	1e-05	1e-05	0.451958	1e-05	CAMPUB_242
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_068
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_067
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_236
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_229
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_256
0.116656	0.169951	1.7e-05	1e-05	1.2e-05	1e-05	0.694475	0.018869	CAMPUB_131
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_253
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_063
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99993	1e-05	CAMPUB_240
0.381673	0.230027	0.052707	0.10975	0.164386	0.009231	1e-05	0.052216	CAMPUB_036
0.540049	0.129359	0.044358	0.058679	0.217225	1e-05	0.002369	0.00795	CAMPUB_110
0.547662	0.267822	1e-05	0.088769	0.038705	0.038356	0.007328	0.011349	CAMPUB_266
0.558421	0.263843	0.002421	0.087792	0.043525	0.0321	0.011888	1e-05	CAMPUB_268
1e-05	1e-05	0.019907	0.547766	0.358532	0.053757	0.020009	1e-05	CAMPUB_147
1e-05	1e-05	0.004635	0.510412	0.30596	0.178951	1.2e-05	1e-05	UNT_050_reseq
1e-05	1e-05	1e-05	0.532262	0.467678	1e-05	1e-05	1e-05	CAMPUB_149
0.029091	0.055895	1e-05	0.422045	0.078769	1e-05	0.41417	1e-05	CAMPUB_194
0.000811	0.469877	1e-05	0.528302	1e-05	1e-05	1e-05	0.00097	CAMPUB_078
0.160041	1e-05	0.237932	0.444456	1.3e-05	1.1e-05	1e-05	0.157527	CAMPUB_154
0.164927	0.182254	1e-05	0.584065	1e-05	0.068714	1e-05	1e-05	UNT_040_reseq
1e-05	1e-05	1e-05	0.558973	1e-05	1e-05	0.440967	1e-05	CAMPUB_193
0.212822	0.167595	1e-05	0.619534	1e-05	1e-05	1e-05	1e-05	CAMPUB_161
0.546771	1e-05	1e-05	0.453169	1e-05	1e-05	1e-05	1e-05	CAMPUB_210
